Date,Start Time,Duration,Consumption,Generation,Net
"4/1/2025","12:00 AM","15","0.0750","0.0000","0.0750"
"4/1/2025","12:15 AM","15","0.0750","0.0000","0.0750"
"4/1/2025","12:30 AM","15","0.0850","0.0000","0.0850"
"4/1/2025","12:45 AM","15","0.0750","0.0000","0.0750"
"4/1/2025","1:00 AM","15","0.0750","0.0000","0.0750"
"4/1/2025","1:15 AM","15","0.0800","0.0000","0.0800"
"4/1/2025","1:30 AM","15","0.0750","0.0000","0.0750"
"4/1/2025","1:45 AM","15","0.2300","0.0000","0.2300"
"4/1/2025","2:00 AM","15","0.1000","0.0000","0.1000"
"4/1/2025","2:15 AM","15","0.0900","0.0000","0.0900"
"4/1/2025","2:30 AM","15","0.0850","0.0000","0.0850"
"4/1/2025","2:45 AM","15","0.0750","0.0000","0.0750"
"4/1/2025","3:00 AM","15","0.0900","0.0000","0.0900"
"4/1/2025","3:15 AM","15","0.0750","0.0000","0.0750"
"4/1/2025","3:30 AM","15","0.0800","0.0000","0.0800"
"4/1/2025","3:45 AM","15","0.0850","0.0000","0.0850"
"4/1/2025","4:00 AM","15","0.0800","0.0000","0.0800"
"4/1/2025","4:15 AM","15","0.0800","0.0000","0.0800"
"4/1/2025","4:30 AM","15","0.0750","0.0000","0.0750"
"4/1/2025","4:45 AM","15","0.1050","0.0000","0.1050"
"4/1/2025","5:00 AM","15","0.2000","0.0000","0.2000"
"4/1/2025","5:15 AM","15","0.1200","0.0000","0.1200"
"4/1/2025","5:30 AM","15","0.0650","0.0000","0.0650"
"4/1/2025","5:45 AM","15","0.0750","0.0000","0.0750"
"4/1/2025","6:00 AM","15","0.0750","0.0000","0.0750"
"4/1/2025","6:15 AM","15","0.0850","0.0000","0.0850"
"4/1/2025","6:30 AM","15","0.0800","0.0000","0.0800"
"4/1/2025","6:45 AM","15","0.0750","0.0000","0.0750"
"4/1/2025","7:00 AM","15","0.0700","0.0000","0.0700"
"4/1/2025","7:15 AM","15","0.1050","0.0000","0.1050"
"4/1/2025","7:30 AM","15","0.0900","0.0000","0.0900"
"4/1/2025","7:45 AM","15","0.1000","0.0000","0.1000"
"4/1/2025","8:00 AM","15","0.1250","0.0000","0.1250"
"4/1/2025","8:15 AM","15","0.1300","0.0000","0.1300"
"4/1/2025","8:30 AM","15","0.1200","0.0000","0.1200"
"4/1/2025","8:45 AM","15","0.1250","0.0000","0.1250"
"4/1/2025","9:00 AM","15","0.1350","0.0000","0.1350"
"4/1/2025","9:15 AM","15","0.1250","0.0000","0.1250"
"4/1/2025","9:30 AM","15","0.1450","0.0000","0.1450"
"4/1/2025","9:45 AM","15","0.1550","0.0000","0.1550"
"4/1/2025","10:00 AM","15","0.2850","0.0000","0.2850"
"4/1/2025","10:15 AM","15","0.6200","0.0000","0.6200"
"4/1/2025","10:30 AM","15","0.1950","0.0000","0.1950"
"4/1/2025","10:45 AM","15","0.1300","0.0000","0.1300"
"4/1/2025","11:00 AM","15","0.3100","0.0000","0.3100"
"4/1/2025","11:15 AM","15","0.2800","0.0000","0.2800"
"4/1/2025","11:30 AM","15","0.2000","0.0000","0.2000"
"4/1/2025","11:45 AM","15","0.2550","0.0000","0.2550"
"4/1/2025","12:00 PM","15","0.2500","0.0000","0.2500"
"4/1/2025","12:15 PM","15","0.2650","0.0000","0.2650"
"4/1/2025","12:30 PM","15","0.2850","0.0000","0.2850"
"4/1/2025","12:45 PM","15","0.3000","0.0000","0.3000"
"4/1/2025","1:00 PM","15","0.2950","0.0000","0.2950"
"4/1/2025","1:15 PM","15","0.3600","0.0000","0.3600"
"4/1/2025","1:30 PM","15","0.1800","0.0000","0.1800"
"4/1/2025","1:45 PM","15","0.3350","0.0000","0.3350"
